4000 Bow Road Victoria BC V8N 3B2 Canada, 48.47269, -123.34094
Victoria BC Canada, 48.42842, -123.36564
788 Humboldt Street Victoria BC V8W 1B1 Canada, 48.42084, -123.36398
Radiant Way Victoria BC V9C 2W4 Canada, 48.42656, -123.53155
68 Songhees Road Victoria BC V9A 0A3 Canada, 48.42700, -123.38020
75 Linden Avenue Victoria BC V8V 4C9 Canada, 48.40948, -123.35368
518 Beach Drive Victoria BC V8S Canada, 48.41264, -123.30818
3738 Ridge Pond Drive Victoria BC V9C 4M8 Canada, 48.40649, -123.53193
555 Hansen Avenue Victoria BC V9B Canada, 48.46379, -123.48878
Victoria BC Canada, 48.42842, -123.36564
1221 Muirfield Place Victoria BC V9B 6T2 Canada, 48.47425, -123.52584
2637 Savory Road Victoria BC V9B 5Y4 Canada, 48.45786, -123.51535
453 Head Street Victoria BC V9A 5S1 Canada, 48.42670, -123.39879
3801 Blenkinsop Road Victoria BC V8P 3P2 Canada, 48.46222, -123.34984
1946 Crescent Road Victoria BC V8S 2G9 Canada, 48.41146, -123.32502
711 Richmond Avenue Victoria BC V8S 3Z2 Canada, 48.41975, -123.33198
1752 Armstrong Avenue Victoria BC V8R Canada, 48.43129, -123.31559
580 Beach Drive Victoria BC V8S Canada, 48.41117, -123.30660
225 St. Lawrence Street Victoria BC V8V 4X5 Canada, 48.42123, -123.38193
870 Hackamore Drive Victoria BC V9C 4A3 Canada, 48.39619, -123.53423
66 Songhees Road Victoria BC V9A 7M6 Canada, 48.42659, -123.37773
2062 Gourman Place Victoria BC V9B Canada, 48.46953, -123.48744
104 Dallas Road Victoria BC V8V 1A3 Canada, 48.41817, -123.38515
3146 Wessex Close Victoria BC V8P 5N2 Canada, 48.44801, -123.31998
Bezanton Way Victoria BC V9C 0C5 Canada, 48.40653, -123.50716
636 Baltic Place Victoria BC V8Z 2B2 Canada, 48.46959, -123.38585
Victoria BC Canada, 48.42842, -123.36564
399 Tyee Road Victoria BC V9A 0A8 Canada, 48.43208, -123.37890
2920 Mount Baker View Road Victoria BC V8N Canada, 48.45769, -123.27181
1177 Fort Street Victoria BC V8V Canada, 48.42301, -123.35059
408 Dallas Road Victoria BC V8V Canada, 48.41299, -123.37920
2917 Cressida Crescent Victoria BC V9B 5W7 Canada, 48.45525, -123.55447
